time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.215000,-0.040294,-0.006612,0.030969,0.014323,0.011019,-0.010687,-0.022521,0.026203,-0.018277,-0.005682,0.102665,-0.102665
0.220000,-0.041154,-0.006704,0.033276,0.013421,0.013187,-0.010908,-0.022762,0.025082,-0.017009,-0.003483,0.102714,-0.102714
0.225000,-0.043430,-0.009545,0.033940,0.012445,0.016011,-0.012655,-0.023282,0.026792,-0.015137,-0.004966,0.102787,-0.102787
0.230000,-0.045634,-0.008381,0.035808,0.012096,0.012389,-0.011412,-0.022844,0.028807,-0.016528,-0.004347,0.102835,-0.102835
0.235000,-0.048680,-0.009244,0.034954,0.015148,0.015570,-0.012451,-0.027617,0.028894,-0.016138,-0.005077,0.102908,-0.102908
0.240000,-0.050750,-0.010179,0.035303,0.012180,0.014123,-0.014986,-0.028553,0.030501,-0.015523,-0.003064,0.102957,-0.102957
0.245000,-0.052458,-0.008700,0.038216,0.013590,0.016954,-0.014888,-0.029746,0.031817,-0.014081,-0.000968,0.103030,-0.103030
0.250000,-0.051645,-0.010349,0.039593,0.015143,0.019116,-0.016724,-0.032874,0.032617,-0.011414,-0.003807,0.103079,-0.103079
0.255000,-0.052859,-0.010596,0.042051,0.016412,0.021381,-0.015754,-0.032754,0.032509,-0.010722,-0.001274,0.103151,-0.103151
0.260000,-0.056099,-0.011621,0.044007,0.017706,0.022286,-0.015697,-0.033901,0.032525,-0.009108,-0.001105,0.103200,-0.103200
0.265000,-0.055701,-0.010113,0.042627,0.020834,0.021566,-0.014465,-0.033397,0.032225,-0.007379,-0.002640,0.103273,-0.103273
0.270000,-0.056215,-0.009034,0.044563,0.019027,0.024833,-0.014500,-0.034455,0.034008,-0.006933,-0.001354,0.103321,-0.103321
0.275000,-0.059261,-0.010142,0.046430,0.020541,0.030085,-0.011612,-0.033484,0.032295,-0.003330,-0.005399,0.103394,-0.103394
0.280000,-0.063033,-0.010457,0.046932,0.021606,0.030083,-0.008959,-0.033870,0.034653,-0.001809,-0.007205,0.103442,-0.103442
0.285000,-0.064819,-0.010514,0.044225,0.023736,0.028358,-0.007751,-0.033757,0.037307,-0.002403,-0.006153,0.103514,-0.103514
0.290000,-0.066549,-0.010953,0.044237,0.023933,0.029377,-0.008606,-0.035147,0.040030,-0.004164,-0.007594,0.103563,-0.103563
0.295000,-0.069578,-0.014456,0.043201,0.019936,0.031200,-0.007655,-0.037556,0.044194,-0.007775,-0.009352,0.103635,-0.103635
0.300000,-0.070114,-0.013823,0.042525,0.023163,0.029375,-0.007425,-0.039121,0.043436,-0.008185,-0.007294,0.103684,-0.103684
0.305000,-0.071929,-0.014940,0.043376,0.026232,0.028171,-0.008489,-0.041374,0.042057,-0.007655,-0.010046,0.103756,-0.103756
0.310000,-0.073364,-0.016055,0.043345,0.025832,0.026033,-0.006441,-0.040349,0.040131,-0.005625,-0.008883,0.103804,-0.103804
0.314999,-0.074508,-0.017816,0.045060,0.024104,0.023747,-0.006228,-0.041487,0.039951,-0.003528,-0.009345,0.103876,-0.103876
0.319999,-0.074204,-0.018317,0.047699,0.023721,0.023097,-0.003782,-0.042383,0.040511,-0.003248,-0.006806,0.103925,-0.103925
0.324999,-0.077656,-0.019790,0.048307,0.024747,0.022114,-0.003250,-0.044602,0.038650,-0.005105,-0.005325,0.103997,-0.103997
0.329999,-0.078323,-0.021190,0.048734,0.025060,0.023255,-0.003273,-0.043622,0.039377,-0.005114,-0.005925,0.104045,-0.104045
0.334999,-0.081464,-0.023247,0.052813,0.026820,0.025541,-0.002779,-0.047291,0.038883,-0.005561,-0.007166,0.104117,-0.104117
0.339999,-0.082207,-0.025900,0.054246,0.029158,0.026034,-0.001055,-0.046672,0.039541,-0.004869,-0.007898,0.104165,-0.104165
0.344999,-0.086937,-0.029349,0.054292,0.033636,0.025103,0.000607,-0.047175,0.043206,-0.003862,-0.004146,0.104238,-0.104238
0.349999,-0.089218,-0.029435,0.056096,0.031999,0.024957,0.000529,-0.049225,0.044658,-0.003536,-0.003945,0.104286,-0.104286
0.354999,-0.089458,-0.032556,0.056469,0.034526,0.024092,0.001487,-0.047020,0.043849,-0.002479,-0.004207,0.104358,-0.104358
0.359999,-0.089488,-0.033873,0.058301,0.032661,0.027160,0.001044,-0.047923,0.045400,-0.002221,-0.003723,0.104406,-0.104406
0.364999,-0.089689,-0.034567,0.060541,0.033383,0.025401,0.002491,-0.048133,0.047335,-0.002449,-0.005303,0.104478,-0.104478
0.369999,-0.092414,-0.035142,0.057795,0.032359,0.027217,0.004789,-0.048571,0.048759,-0.003661,-0.004613,0.104526,-0.104526
0.374999,-0.095292,-0.036454,0.060533,0.032798,0.027296,0.007538,-0.047289,0.050433,-0.002606,-0.001763,0.104598,-0.104598
0.379999,-0.096694,-0.039401,0.060018,0.035255,0.027182,0.009940,-0.045861,0.051149,-0.003483,-0.001216,0.104646,-0.104646
0.384999,-0.096556,-0.041226,0.060115,0.034802,0.026717,0.011418,-0.046476,0.048164,-0.002734,-0.000607,0.104718,-0.104718
0.389999,-0.096003,-0.042532,0.061322,0.034178,0.027801,0.012230,-0.048767,0.047981,-0.002954,-0.002097,0.104766,-0.104766
0.394998,-0.098119,-0.042841,0.061682,0.031905,0.027134,0.016510,-0.052925,0.050302,0.001827,-0.004858,0.104838,-0.104838
0.399998,-0.098454,-0.043239,0.063365,0.031337,0.024048,0.016143,-0.055598,0.050885,0.002055,-0.006697,0.104886,-0.104886
0.404998,-0.101769,-0.046761,0.064817,0.031314,0.025061,0.019206,-0.056529,0.053671,-0.000391,-0.007004,0.104958,-0.104958
0.409998,-0.098795,-0.045321,0.064145,0.030884,0.024772,0.019269,-0.056542,0.054790,-0.002079,-0.006394,0.105006,-0.105006
0.414998,-0.098137,-0.049628,0.065879,0.031439,0.023380,0.020216,-0.055382,0.056096,-0.002415,-0.003732,0.105078,-0.105078
0.419998,-0.098795,-0.049512,0.067353,0.033968,0.022581,0.019991,-0.057241,0.057814,-0.003787,-0.002106,0.105126,-0.105126
0.424998,-0.101350,-0.052049,0.068422,0.038601,0.020309,0.019353,-0.057128,0.063869,-0.003008,-0.000333,0.105198,-0.105198
0.429998,-0.101050,-0.055338,0.068443,0.041027,0.020833,0.020567,-0.057572,0.066506,-0.003487,0.000976,0.105246,-0.105246
