time, Quad1.Est.E.X, Quad2.Est.E.X, Quad3.Est.E.X, Quad4.Est.E.X, Quad5.Est.E.X, Quad6.Est.E.X, Quad7.Est.E.X, Quad8.Est.E.X, Quad9.Est.E.X, Quad10.Est.E.X, Quad1.Est.S.X, Quad1.Est.S.X
0.220000,-0.003562,-0.000553,0.003476,0.001591,0.000884,-0.002116,-0.002042,0.002311,-0.001616,-0.000232,0.105085,-0.105085
0.225000,-0.003813,-0.000597,0.003675,0.001670,0.000969,-0.002192,-0.002180,0.002470,-0.001710,-0.000254,0.105287,-0.105287
0.230000,-0.003988,-0.000634,0.003812,0.001718,0.001028,-0.002242,-0.002272,0.002580,-0.001770,-0.000273,0.105423,-0.105423
0.235000,-0.004266,-0.000686,0.004021,0.001795,0.001109,-0.002316,-0.002419,0.002754,-0.001863,-0.000304,0.105631,-0.105631
0.240000,-0.004462,-0.000724,0.004163,0.001855,0.001170,-0.002369,-0.002530,0.002869,-0.001928,-0.000321,0.105771,-0.105771
0.245000,-0.004771,-0.000789,0.004382,0.001932,0.001259,-0.002458,-0.002705,0.003056,-0.002017,-0.000334,0.105983,-0.105983
0.250000,-0.004980,-0.000826,0.004537,0.001985,0.001328,-0.002518,-0.002827,0.003184,-0.002071,-0.000339,0.106127,-0.106127
0.255000,-0.005292,-0.000887,0.004786,0.002077,0.001445,-0.002616,-0.003023,0.003380,-0.002137,-0.000357,0.106345,-0.106345
0.260000,-0.005507,-0.000931,0.004957,0.002144,0.001528,-0.002679,-0.003154,0.003509,-0.002178,-0.000364,0.106492,-0.106492
0.265000,-0.005844,-0.000998,0.005219,0.002258,0.001663,-0.002770,-0.003358,0.003702,-0.002228,-0.000376,0.106715,-0.106715
0.270000,-0.006069,-0.001038,0.005390,0.002339,0.001754,-0.002829,-0.003490,0.003834,-0.002256,-0.000388,0.106866,-0.106866
0.275000,-0.006410,-0.001089,0.005663,0.002456,0.001915,-0.002909,-0.003699,0.004040,-0.002290,-0.000403,0.107094,-0.107094
0.280000,-0.006651,-0.001129,0.005849,0.002538,0.002037,-0.002954,-0.003835,0.004171,-0.002302,-0.000426,0.107248,-0.107248
0.285000,-0.007032,-0.001194,0.006125,0.002671,0.002212,-0.003007,-0.004042,0.004382,-0.002306,-0.000462,0.107482,-0.107482
0.290000,-0.007294,-0.001234,0.006299,0.002767,0.002324,-0.003037,-0.004178,0.004535,-0.002319,-0.000488,0.107639,-0.107639
0.295000,-0.007703,-0.001309,0.006555,0.002901,0.002502,-0.003090,-0.004394,0.004784,-0.002352,-0.000529,0.107878,-0.107878
0.300000,-0.007983,-0.001367,0.006729,0.002984,0.002624,-0.003121,-0.004546,0.004959,-0.002384,-0.000562,0.108038,-0.108038
0.305000,-0.008407,-0.001453,0.006985,0.003134,0.002801,-0.003165,-0.004785,0.005219,-0.002433,-0.000613,0.108282,-0.108282
0.310000,-0.008693,-0.001514,0.007160,0.003237,0.002911,-0.003198,-0.004950,0.005387,-0.002463,-0.000654,0.108446,-0.108446
0.314999,-0.009134,-0.001615,0.007422,0.003388,0.003062,-0.003240,-0.005191,0.005629,-0.002496,-0.000709,0.108695,-0.108695
0.319999,-0.009432,-0.001686,0.007605,0.003482,0.003156,-0.003262,-0.005359,0.005790,-0.002510,-0.000743,0.108863,-0.108863
0.324999,-0.009885,-0.001796,0.007891,0.003631,0.003292,-0.003290,-0.005616,0.006030,-0.002533,-0.000782,0.109117,-0.109117
0.329999,-0.010197,-0.001876,0.008087,0.003728,0.003383,-0.003301,-0.005793,0.006187,-0.002554,-0.000803,0.109287,-0.109287
0.334999,-0.010675,-0.002008,0.008389,0.003883,0.003529,-0.003323,-0.006060,0.006418,-0.002589,-0.000846,0.109546,-0.109546
0.339999,-0.011002,-0.002105,0.008600,0.003991,0.003631,-0.003331,-0.006249,0.006572,-0.002609,-0.000876,0.109720,-0.109720
0.344999,-0.011506,-0.002270,0.008929,0.004175,0.003783,-0.003328,-0.006530,0.006816,-0.002638,-0.000918,0.109984,-0.109984
0.349999,-0.011856,-0.002389,0.009149,0.004308,0.003882,-0.003325,-0.006721,0.006988,-0.002653,-0.000935,0.110161,-0.110161
0.354999,-0.012395,-0.002571,0.009490,0.004505,0.004030,-0.003324,-0.007017,0.007250,-0.002668,-0.000962,0.110430,-0.110430
